Exchange,Wallet,Address,Balance_XRP,Unique_Tags,Tagged_TX,Tag_Rate
upbit,Upbit18,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,500000022,31,34,94.4%
upbit,Upbit19,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,500000022,10,304,99.3%
upbit,Upbit20,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,500000022,10,12,85.7%
upbit,Upbit21,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,500000023,25,32,88.9%
upbit,Upbit22,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,1463561418,0,0,0.0%
upbit,Upbit23,rHHQeqjz2QyNj1DVoAbcvfaKLv7RxpHMNE,1528,3,4,50.0%
sbi,SBI VC TRADE 4,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,83928881,1,625,88.5%
sbi,SBI VC Trade 5,raSZXZApFg7Nj1B5G6BnhoL6HcTqVMopJ3,69708,0,0,0.0%
sbi,SBI VC Trade 6,r39uEuRjzLaSgvkjTfcejodbSrXLM3cYnX,721,0,0,0.0%
sbi,SBI VC Trade 1,rDDyH5nfvozKZQCwiBrWfcE528sWsBPWET,1,104,460,100.0%
sbi,SBI VC Trade 2,rKcVYzVK1f4PhRFjLhWP7QmteG5FpPgRub,37,404,533,100.0%
sbi,SBI VC Trade 3,rUaESVd1yLMy5VyoJvwwuqE8ZiCb2PEqBR,4135,333,712,100.0%
stake,Stake1,rnqZnvzoJjdg7n1P9pmumJ7FQ5wxNH3gYC,4132949,380,619,99.4%
stake,Stake2,razLtrbzXVXYvViLqUKLh8YenGLJid9ZTW,6209423,135,600,100.0%
stake,Stake3,rBA7oBScBPccjDcemGhkmCY82v2ZeLa2K2f,0,0,0,N/A
stake,Stake4,rBndy89HdamJ3UHNekAS6ALjW9WoCE2W5s,3466795,228,668,99.6%
korbit,Korbit1,rBTjeJu1Rvnbq476Y7PDnvnXUeERV9CxEQ,61,180,792,100.0%
korbit,Korbit2,rJRarS792K6LTqHsFkZGzM1Ue6G8jZ2AfK,72687,3,610,100.0%
korbit,Korbit3,rGU8q9qNCCQG2eMgJpLJJ1YFF5JAbntqau,20,3,644,100.0%
korbit,Korbit4,r9WGxuEbUSh3ziYt34mBRViPbqVxZmwsu3,78803,3,4,100.0%
korbit,Korbit5,rNWWbLxbZRKd51NNZCEjoSNovrrx7yiPyt,159301,190,792,100.0%
korbit,Korbit6,rGq74nAmw1ARejUNLYEBGxiQBaoNtryEe9,25629,2,31,96.9%
korbit,Korbit7,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,1,10,303,94.4%
korbit,Korbit8,rwnXZEUe7o29SPcWZwnZukR8fdXmFMWHAN,16,1,12,38.7%
swissbirg,SwissBirg 3,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,5,4,799,100.0%
virtune,Virtune,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,67886573,25,25,3.8%
Evernorth,Evernorth1,rsT3yYMkuicxW1hYsy787mg5XHhkz2uQRk,45620882,61,109,99.1%
Evernorth,Evernorth2,rKXXrAgpkHQN8m4HxAQCYmDCPPUByc9mVq,42263815,1,2,66.7%
Evernorth,Evernorth3,rKhjV48GdbgxAAfSvusqGNktGwAxnzzXpv,46280909,1,4,80.0%
Evernorth,Evernorth4,rGJBNGkDeRPNvNJCi57Ht1ncdht9SuctLe,45995777,3,5,83.3%
Evernorth,Evernorth5,rJX1qoSGYmx5NWJEpsBGKvxmYpGR7mDtop,45730767,1,4,80.0%
Evernorth,Evernorth6,rJuyHPDFpfeVhxfxZboTf7BYu1ptGus1v3,42560592,1,2,50.0%
Evernorth,Evernorth7,rUgQciCPP1AiwQ9f5zstYu9RzVfsKQRGc2,35730243,1,2,50.0%
Evernorth,Evernorth8,rPhQdyEaz4kcSoYKTAQhvkvdYxWKKw2vSC,42263823,1,2,66.7%
Evernorth,Evernorth9,rGy4zJtGfGtF7dtjZmBraQTcfZSQgwqpaa,42263823,1,2,66.7%
