Exchange,Wallet,Address,Balance_XRP,Unique_Tags,Tagged_TX,Tag_Rate
bithumb,Bithumb11,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,407,2,2,66.7%
bithumb,Bithumb12,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,1842012127,0,0,0.0%
bithumb,Bithumb13,rw3fRcmn5PJyPKuvtAwHDSpEqoW2JKmKbu,7174057,375,375,93.5%
bitkub,Bitkub 3,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,9539125,20,82,98.8%
BTC Markes,BTC Markets 1,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,2,11,371,95.1%
BTC Markes,BTC Markets 2,rL3ggCUKaiR1iywkGW6PACbn3Y8g5edWiY,1564,2,275,97.2%
BTC Markes,BTC Markets 3,rU7xJs7QmjbiyxpEozNYUFQxaRD5kueY7z,6,107,567,100.0%
BTC Markes,BTC Markets 4,rwWZxJQ8R2mvvtaFUJHhF6kfV64atBiPww,1,2,553,98.9%
BTC Markes,BTC Markets 5,r3zUhJWabAMMLT5n631r2wDh9RP3dN1bRy,1352347,77,133,100.0%
BTC Markes,BTC Markets 6,rKRYAqMFTTGMZ47eXJVRKcqLJgnPQbXisg,2352307,369,388,99.7%
bybit,Bybit 1,rMrgNBrkE6FdCjWih5VAWkGMrmerrWpiZt,496,62,596,100.0%
bybit,Bybit 2,rNFKfGBzMspdKfaZdpnEyhkFyw7C1mtQ8x,21,1,7,63.6%
bybit,Bybit 3,rJn2zAPdFA193sixJwuFixRkYDUtx3apQh,4262544,594,791,100.0%
bybit,Bybit 4,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,31535569,0,0,0.0%
bybit,Bybit 5,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,10,1,2,2.0%
bybit,Bybit 6,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,50000378,4,24,24.2%
coincheck,Coincheck 1,rNQEMJA4PsoSrZRn9J6RajAYhcDzzhf8ok,276272,129,186,100.0%
coincheck,Coincheck 2,rwgvfze315jjAAxT2TyyDqAPzL68HpAp6v,30,2,7,2.4%
coincheck,Coincheck 3,r99QSej32nAcjQAri65vE5ZXjw6xpUQ2Eh,554549328,10,11,2.1%
coinbase,Coinbase1,rLNaPoKeeBjZe2qs6x52yVPZpZ8td4dc6w,8681,17,166,100.0%
coinbase,Coinbase2,rw2ciyaNshpHe7bCHo4bRWq6pqqynnWKQg,11526,448,587,100.0%
coinbase,Coinbase3,rUfghnh1VAWajpAmxgrzLPiCXJ7RwdJUgt,0,1,92,98.9%
coinbase,Coinbase4,rwpTh9DDa52XkM9nTKp2QrJuCGV5d1mQVP,508319,1,3,100.0%
coinbase,Coinbase5,r3YsZdkznVzYBv141qhwXHDWoPUXLdksNw,935,3,238,97.9%
coinbase,Coinbase6,r4sRyacXpbh4HbagmgfoQq8Q3j8ZJzbZ1J,2591313,1,4,100.0%
coinbase,Coinbase7,rUjfTQpvBr6wsGGxMw6sRmRQGG76nvp8Ln,164126,1,3,100.0%
coinbase,Coinbase10,rRmgo6NW1W7GHjC5qEpcpQnq8NE74ZS1P,179428,1,6,85.7%
coinbase,Coinbase11,rHrHuQM3E114yMyPjeULWfQmbwVBrHsBEy,1474,1,344,98.3%
coinbase,Coinbase12,rLBunuhuRY7aUCnDkSQhaf5ewCvdcWUYjR,4158,3,408,98.6%
